#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
736;168;Fichte;100;Fichte_3_168;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
737;168;Fichte;100;Fichte_3_168;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
738;168;Fichte;100;Fichte_3_168;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;168;Fichte;100;Fichte_3_168;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
739;169;Tanne;101;Tanne_1_169;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
740;169;Tanne;101;Tanne_1_169;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
741;169;Tanne;101;Tanne_1_169;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
742;169;Tanne;101;Tanne_1_169;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
743;169;Tanne;101;Tanne_1_169;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;169;Tanne;101;Tanne_1_169;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
744;170;Tanne;101;Tanne_2_170;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
745;170;Tanne;101;Tanne_2_170;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
746;170;Tanne;101;Tanne_2_170;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
747;170;Tanne;101;Tanne_2_170;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
748;170;Tanne;101;Tanne_2_170;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;170;Tanne;101;Tanne_2_170;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
749;171;Fichte;100;Fichte_1_171;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
750;171;Fichte;100;Fichte_1_171;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
751;171;Fichte;100;Fichte_1_171;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
752;171;Fichte;100;Fichte_1_171;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;171;Fichte;100;Fichte_1_171;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
753;172;Fichte;100;Fichte_2_172;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
754;172;Fichte;100;Fichte_2_172;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
755;172;Fichte;100;Fichte_2_172;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
756;172;Fichte;100;Fichte_2_172;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;172;Fichte;100;Fichte_2_172;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
757;173;Fichte;100;Fichte_3_173;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
758;173;Fichte;100;Fichte_3_173;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
759;173;Fichte;100;Fichte_3_173;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
760;173;Fichte;100;Fichte_3_173;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;173;Fichte;100;Fichte_3_173;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
761;174;Tanne;101;Tanne_1_174;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
762;174;Tanne;101;Tanne_1_174;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
763;174;Tanne;101;Tanne_1_174;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
764;174;Tanne;101;Tanne_1_174;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
765;174;Tanne;101;Tanne_1_174;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;174;Tanne;101;Tanne_1_174;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
766;175;Tanne;101;Tanne_2_175;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
767;175;Tanne;101;Tanne_2_175;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
768;175;Tanne;101;Tanne_2_175;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
769;175;Tanne;101;Tanne_2_175;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
770;175;Tanne;101;Tanne_2_175;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;175;Tanne;101;Tanne_2_175;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
771;176;Fichte;100;Fichte_1_176;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
772;176;Fichte;100;Fichte_1_176;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
773;176;Fichte;100;Fichte_1_176;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
774;176;Fichte;100;Fichte_1_176;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;176;Fichte;100;Fichte_1_176;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
775;177;Fichte;100;Fichte_2_177;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
776;177;Fichte;100;Fichte_2_177;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
777;177;Fichte;100;Fichte_2_177;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
778;177;Fichte;100;Fichte_2_177;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;177;Fichte;100;Fichte_2_177;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
779;178;Fichte;100;Fichte_3_178;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
780;178;Fichte;100;Fichte_3_178;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
781;178;Fichte;100;Fichte_3_178;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
782;178;Fichte;100;Fichte_3_178;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;178;Fichte;100;Fichte_3_178;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
783;179;Tanne;101;Tanne_1_179;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
784;179;Tanne;101;Tanne_1_179;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
785;179;Tanne;101;Tanne_1_179;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
786;179;Tanne;101;Tanne_1_179;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
787;179;Tanne;101;Tanne_1_179;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;179;Tanne;101;Tanne_1_179;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
788;180;Tanne;101;Tanne_2_180;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
789;180;Tanne;101;Tanne_2_180;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
790;180;Tanne;101;Tanne_2_180;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
791;180;Tanne;101;Tanne_2_180;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
792;180;Tanne;101;Tanne_2_180;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;180;Tanne;101;Tanne_2_180;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
793;181;Fichte;100;Fichte_1_181;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
794;181;Fichte;100;Fichte_1_181;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
795;181;Fichte;100;Fichte_1_181;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
796;181;Fichte;100;Fichte_1_181;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;181;Fichte;100;Fichte_1_181;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
797;182;Fichte;100;Fichte_2_182;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
798;182;Fichte;100;Fichte_2_182;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
799;182;Fichte;100;Fichte_2_182;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
800;182;Fichte;100;Fichte_2_182;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;182;Fichte;100;Fichte_2_182;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
801;183;Fichte;100;Fichte_3_183;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
802;183;Fichte;100;Fichte_3_183;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
803;183;Fichte;100;Fichte_3_183;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
804;183;Fichte;100;Fichte_3_183;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;183;Fichte;100;Fichte_3_183;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
805;184;Tanne;101;Tanne_1_184;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
806;184;Tanne;101;Tanne_1_184;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
807;184;Tanne;101;Tanne_1_184;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
808;184;Tanne;101;Tanne_1_184;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
809;184;Tanne;101;Tanne_1_184;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;184;Tanne;101;Tanne_1_184;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
810;185;Tanne;101;Tanne_2_185;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
811;185;Tanne;101;Tanne_2_185;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
812;185;Tanne;101;Tanne_2_185;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
813;185;Tanne;101;Tanne_2_185;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
814;185;Tanne;101;Tanne_2_185;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;185;Tanne;101;Tanne_2_185;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
815;186;Fichte;100;Fichte_1_186;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
816;186;Fichte;100;Fichte_1_186;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
817;186;Fichte;100;Fichte_1_186;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
818;186;Fichte;100;Fichte_1_186;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;186;Fichte;100;Fichte_1_186;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
819;187;Fichte;100;Fichte_2_187;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
820;187;Fichte;100;Fichte_2_187;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
821;187;Fichte;100;Fichte_2_187;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
822;187;Fichte;100;Fichte_2_187;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;187;Fichte;100;Fichte_2_187;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
823;188;Fichte;100;Fichte_3_188;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
824;188;Fichte;100;Fichte_3_188;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
825;188;Fichte;100;Fichte_3_188;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
826;188;Fichte;100;Fichte_3_188;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;188;Fichte;100;Fichte_3_188;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
827;189;Tanne;101;Tanne_1_189;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
828;189;Tanne;101;Tanne_1_189;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
829;189;Tanne;101;Tanne_1_189;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
830;189;Tanne;101;Tanne_1_189;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
831;189;Tanne;101;Tanne_1_189;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;189;Tanne;101;Tanne_1_189;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
832;190;Tanne;101;Tanne_2_190;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
833;190;Tanne;101;Tanne_2_190;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
834;190;Tanne;101;Tanne_2_190;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
835;190;Tanne;101;Tanne_2_190;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
836;190;Tanne;101;Tanne_2_190;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;190;Tanne;101;Tanne_2_190;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
837;191;Fichte;100;Fichte_1_191;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
838;191;Fichte;100;Fichte_1_191;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
839;191;Fichte;100;Fichte_1_191;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
840;191;Fichte;100;Fichte_1_191;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;191;Fichte;100;Fichte_1_191;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
841;192;Fichte;100;Fichte_2_192;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
842;192;Fichte;100;Fichte_2_192;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
843;192;Fichte;100;Fichte_2_192;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
844;192;Fichte;100;Fichte_2_192;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;192;Fichte;100;Fichte_2_192;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
845;193;Fichte;100;Fichte_3_193;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
846;193;Fichte;100;Fichte_3_193;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
847;193;Fichte;100;Fichte_3_193;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
848;193;Fichte;100;Fichte_3_193;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;193;Fichte;100;Fichte_3_193;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
849;194;Tanne;101;Tanne_1_194;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
850;194;Tanne;101;Tanne_1_194;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
851;194;Tanne;101;Tanne_1_194;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
852;194;Tanne;101;Tanne_1_194;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
853;194;Tanne;101;Tanne_1_194;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;194;Tanne;101;Tanne_1_194;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
854;195;Tanne;101;Tanne_2_195;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
855;195;Tanne;101;Tanne_2_195;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
856;195;Tanne;101;Tanne_2_195;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
857;195;Tanne;101;Tanne_2_195;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
858;195;Tanne;101;Tanne_2_195;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;195;Tanne;101;Tanne_2_195;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
859;196;Fichte;100;Fichte_1_196;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
860;196;Fichte;100;Fichte_1_196;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
861;196;Fichte;100;Fichte_1_196;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
862;196;Fichte;100;Fichte_1_196;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;196;Fichte;100;Fichte_1_196;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
863;197;Fichte;100;Fichte_2_197;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
864;197;Fichte;100;Fichte_2_197;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
865;197;Fichte;100;Fichte_2_197;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
866;197;Fichte;100;Fichte_2_197;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;197;Fichte;100;Fichte_2_197;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
867;198;Fichte;100;Fichte_3_198;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
868;198;Fichte;100;Fichte_3_198;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
869;198;Fichte;100;Fichte_3_198;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
870;198;Fichte;100;Fichte_3_198;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;198;Fichte;100;Fichte_3_198;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
871;199;Tanne;101;Tanne_1_199;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
872;199;Tanne;101;Tanne_1_199;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
873;199;Tanne;101;Tanne_1_199;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
874;199;Tanne;101;Tanne_1_199;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
875;199;Tanne;101;Tanne_1_199;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;199;Tanne;101;Tanne_1_199;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
876;200;Tanne;101;Tanne_2_200;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
877;200;Tanne;101;Tanne_2_200;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
878;200;Tanne;101;Tanne_2_200;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
879;200;Tanne;101;Tanne_2_200;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
880;200;Tanne;101;Tanne_2_200;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;200;Tanne;101;Tanne_2_200;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
881;201;Fichte;100;Fichte_1_201;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
882;201;Fichte;100;Fichte_1_201;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
883;201;Fichte;100;Fichte_1_201;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
